particle,spectra,target_x,target_y,actual_x,actual_y,size_w,size_l,morphology,color,other_observation,notes,row,object_id,library_id,match_val,match_threshold,good_correlations,signal_to_noise,signal_threshold,good_signal,good_matches,x,y,file_name,license.x,col_id,session_id,file_id,sn,organization,spectrum_type,spectrum_identity,librarytype,spectrumid,owner,rruffid,ideal_chemistry,locality,source,status,url,measured_chemistry,instrument_mode,intensity_units,other_info,jcamp-dx,yfactor,deltax,instrument_used,material_color,citation,brand,item,location,width,depth,particle_massmg,tgoc,tmoc,onset,enthalpyj_g,qa_qc,framework,abbreviation,spectral_resolution,instrument_accessories,wavenumber_range,user_name,region,campaign,state,treatment,analysis,exposure_days,polymer_id,file_legacy,locationdescription,country,lat,lon,spec_hash,x_unit,y_unit,product_id,supplier,specifications,pin_id,orientation,replicate,longest_dimension,license.y,samples,lines,bands,header_offset,data_type,interleave,pixel_size,otherinfo,pressure,temperature,material_form,material_producer,number_of_accumulations,time,ratio_against_background,truncated,elementmultiply_or_elementdivide,collection_length,sample_gain,number_of_background_scans,background_gain,sample_spacing,resolution_points,number_of_fft_points,apodization,bench_serial_number,subtraction_or_addition,baseline_correction,perctransmittance_absorbance,sponsor,grating,hole_sizenm,slitum,filterperc,delays,date,molform,aperture,beamsplitter,detectordiadetport_in_sphere,sphere_diameter,acquisition_mode,scanner_speed,phase_resolution,phase_correction,zerofilling,wavenumber_accuracy,low_pass_filter,switch_gain_on,mw,contact_info,cas_number,material_quality,laser_light_used,total_acquisition_time_s,data_processing_proceedure,level_of_confidence_in_identification,smoother,density,material_class,plastic_or_not,material_class_specific,max_cor_class,max_cor_val
148,23,,,3376,4590,100-200,200-300,fragment,white ,,,148,V2.47,8b652374b67d0b62bfaf6cce01d1c775,0.835763,0.7,TRUE,11.94417,4,TRUE,TRUE,14,3,Sagehen_March142022_2_top_100_126-1500023.CSV,CC BY-NC,V2.47,bd642a3cea4aa3840a4315f2642c3cae/9fb8439a1a35efb2ddfa4e64815c4261,bbade320e5f01619e3f00b2ac5a09271,10.48966,win cowger and sebastian primpke,ftir,tomato skin,"polymer, minerals, organic materials",transmission_4_e8_3,,,,,,,,,transmission,,,,,,,,cowger et al. 'high throughput ftir analysis of macro and microplastics with plate readers' in prep,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,none,,,,organic matter,not plastic,,organic matter,0.965029
149,24,,,3373,-12938,50-100,50-100,fragment,yellow,roundish,,149,V2.48,e08f6c1985ac63197f050aaa63062b19,0.772187,0.7,TRUE,10.27862,4,TRUE,TRUE,15,3,Sagehen_March142022_2_top_100_126-1500024.CSV,CC BY-NC,V2.48,bd642a3cea4aa3840a4315f2642c3cae/9fb8439a1a35efb2ddfa4e64815c4261,e6e06d57cb06c9dd18fd002a282b4a36,10.46111,win cowger and sebastian primpke,ftir,tomato skin,"polymer, minerals, organic materials",reflectance_4_e9_0,,,,,,,,,reflectance,,,,,,,,cowger et al. 'high throughput ftir analysis of macro and microplastics with plate readers' in prep,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,none,,,,organic matter,not plastic,,organic matter,0.850253
150,25,,,3222,-14609,50-100,100-200,film,brown,overlaps with a white fragment (same frame),,150,V2.49,8b652374b67d0b62bfaf6cce01d1c775,0.860715,0.7,TRUE,10.69081,4,TRUE,TRUE,16,3,Sagehen_March142022_2_top_100_126-1500025.CSV,CC BY-NC,V2.49,bd642a3cea4aa3840a4315f2642c3cae/9fb8439a1a35efb2ddfa4e64815c4261,d39b1bc9de918a4852a9a0accc700609,10.48966,win cowger and sebastian primpke,ftir,tomato skin,"polymer, minerals, organic materials",transmission_4_e8_3,,,,,,,,,transmission,,,,,,,,cowger et al. 'high throughput ftir analysis of macro and microplastics with plate readers' in prep,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,none,,,,organic matter,not plastic,,organic matter,0.965029
151,1,,,4021,629,50-100,50-100,fragment,brown,,,151,V2.50,45e6b3d089c8f1eb3526bf27c9cdb633,0.85045,0.7,TRUE,7.748505,4,TRUE,TRUE,17,3,Sagehen_March142022_2_top_100_151-1750001.CSV,CC BY-NC,V2.50,bd642a3cea4aa3840a4315f2642c3cae/9fb8439a1a35efb2ddfa4e64815c4261,91f77886dd2061d5ef74110fa93adb1d,15.06957,kimmel_center,ftir,recent pollen 3 pinus,"organic materials, minerals, archeology",./pollen 3 pinus recent.dx kimmel,unknown,,,,unknown,,,,absorbance,absorbance,"absorbance of natural & biogenic material of archeological interest. collected and provided by prof. steven weiner from kimmel center for archaeological science, weizmann institute of science, israel",5.01  $$ datafile exported by spectragryph v.1.2.15,1,-0.96423,unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,########,,,,,,,,,,,,,,,,,,,,,,,,other material,not plastic,,other material,0.904896
152,2,,,3829,4214,<50,300-400,fiber/filament,translucent,,,152,V2.51,909b06acc7602078510a42eebcad7cac,0.7595,0.7,TRUE,5.451804,4,TRUE,TRUE,1,4,Sagehen_March142022_2_top_100_151-1750002.CSV,CC BY-NC,V2.51,bd642a3cea4aa3840a4315f2642c3cae/9fb8439a1a35efb2ddfa4e64815c4261,e1c9b98318fc0d8a0e48c4b74ea66b6e,4.192977,win cowger and sebastian primpke,ftir,fibre_indian_raw_cotton,"polymer, minerals, organic materials",reflectance_4_h8_1,,,,,awi,,,,reflectance,,,,,,,,cowger et al. 'high throughput ftir analysis of macro and microplastics with plate readers' in prep,,,,,,,,,,,,plant fibre,fibre_indian_raw_cotton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,faserinstitut bremen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,none,,,,organic matter,not plastic,,organic matter,0.986811
153,3,,,4056,4525,200-300,300-400,fragment,brown,brown-white,,153,V2.52,45e6b3d089c8f1eb3526bf27c9cdb633,0.801725,0.7,TRUE,4.350235,4,TRUE,TRUE,2,4,Sagehen_March142022_2_top_100_151-1750003.CSV,CC BY-NC,V2.52,bd642a3cea4aa3840a4315f2642c3cae/9fb8439a1a35efb2ddfa4e64815c4261,fa583819a0330228edc08ca6b37b9cb6,15.06957,kimmel_center,ftir,recent pollen 3 pinus,"organic materials, minerals, archeology",./pollen 3 pinus recent.dx kimmel,unknown,,,,unknown,,,,absorbance,absorbance,"absorbance of natural & biogenic material of archeological interest. collected and provided by prof. steven weiner from kimmel center for archaeological science, weizmann institute of science, israel",5.01  $$ datafile exported by spectragryph v.1.2.15,1,-0.96423,unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,########,,,,,,,,,,,,,,,,,,,,,,,,other material,not plastic,,other material,0.904896
154,4,,,4261,3158,50-100,50-100,fragment,translucent,,,154,V2.53,6fae691114bda1d449fc029d331884b4,0.921121,0.7,TRUE,33.6828,4,TRUE,TRUE,3,4,Sagehen_March142022_2_top_100_151-1750004.CSV,CC BY-NC,V2.53,bd642a3cea4aa3840a4315f2642c3cae/9fb8439a1a35efb2ddfa4e64815c4261,aa248740c6132efa4a1386b542a8d590,52.88959,aline carvalho,ftir,polyethylene,polymers,polyethylene_100_aline,,,,,,,,,atr,,,,,,"thermo nicolet 670, thermo fisher scientific",,,,,,,,,,,,,,,,4 cm-1,(atr diamond crystal),"400 to 4000 cm-1, applying 8 scans",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,atr correction,,,,polyolefins (polyalkenes),plastic,poly(ethylene),polyolefins (polyalkenes),0.989376
155,5,,,4366,-2844,50-100,200-300,film,translucent,,,155,V2.54,d17f8cae31a6d96f2869bfb81ce34938,0.814311,0.7,TRUE,5.113195,4,TRUE,TRUE,4,4,Sagehen_March142022_2_top_100_151-1750005.CSV,CC BY-NC,V2.54,bd642a3cea4aa3840a4315f2642c3cae/9fb8439a1a35efb2ddfa4e64815c4261,b4d0537d5fa6dbfcf72c0b9b537eed63,11.48384,"flopp, de frond et al. 2021",ftir,c11. pink fiber,polymers,c11. pink fiber,nicolet,,,,thermo fisher scientific corporation,,,,transmittance,transmittance,https://doi.org/10.1021/acs.analchem.1c02549,5.01  $$ nicolet v. 970,1.00E-08,1.928548,nicolet in10 mx,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,13:07:15,ratio against background,truncated,elementmultiply or elementdivide,11.18 sec,1,32,1,2,4096,8192,n-b strong;,alk1911898;,,,,,,,,,,########,,,,,,,,,mertz;,,,,,,,,,15798.67 cm-1,11.18 sec,,,,,organic matter,not plastic,,organic matter,0.973158
156,6,,,4703,-13251,50-100,50-100,fragment,white ,,,156,V2.55,20e7623e4a4ef9243806aba7e9cd0133,0.775451,0.7,TRUE,3.934378,4,FALSE,FALSE,5,4,Sagehen_March142022_2_top_100_151-1750006.CSV,CC BY-NC,V2.55,bd642a3cea4aa3840a4315f2642c3cae/9fb8439a1a35efb2ddfa4e64815c4261,7fd937d5ad0191f8aa26cb2a6f811a27,343.8589,kimmel_center,ftir,wood fossil (untreated) cave of letters 3916,"organic materials, minerals, archeology",./wood fossil (untreated) cave of letters 3916.dx kimmel,unknown,,,,unknown,,,,absorbance,absorbance,"absorbance of natural & biogenic material of archeological interest. collected and provided by prof. steven weiner from kimmel center for archaeological science, weizmann institute of science, israel",5.01  $$ datafile exported by spectragryph v.1.2.15,1,-1.92847,unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13/02/2007 18:24:56,,,,,,,,,,,,,,,,,,,,,,,,other material,not plastic,,other material,0.989279
157,7,,,4874,-13278,50-100,50-100,fragment,translucent,translucent-gray,,157,V2.56,79fda6dcb482b4efa4841f315eb03b97,0.917093,0.7,TRUE,8.822549,4,TRUE,TRUE,6,4,Sagehen_March142022_2_top_100_151-1750007.CSV,CC BY-NC,V2.56,bd642a3cea4aa3840a4315f2642c3cae/9fb8439a1a35efb2ddfa4e64815c4261,8c8adbb48ef46835755b14b333dda6f2,17.75489,kimmel_center,ftir,keratin (fingernail),"organic materials, minerals, archeology",./keratin (fingernail).dx kimmel,unknown,,,,unknown,,,,absorbance,absorbance,"absorbance of natural & biogenic material of archeological interest. collected and provided by prof. steven weiner from kimmel center for archaeological science, weizmann institute of science, israel",5.01  $$ datafile exported by spectragryph v.1.2.15,1,-1.92847,unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17/10/2011 15:49:26,,,,,,,,,,,,,,,,,,,,,,,,other material,not plastic,,organic matter,0.923214
158,8,,,5311,-12117,50-100,50-100,fragment,brown,,,158,V2.57,fd8192f6ea0b0dd553ba11ee827d77a6,0.672158,0.7,FALSE,15.50626,4,TRUE,FALSE,7,4,Sagehen_March142022_2_top_100_151-1750008.CSV,CC BY-NC,V2.57,bd642a3cea4aa3840a4315f2642c3cae/9fb8439a1a35efb2ddfa4e64815c4261,1ddc75aac504bdaa82566b2020eb19cd,24.10496,win cowger and sebastian primpke,ftir,rubber,"polymer, minerals, organic materials",transmission_5_f12_1,,,,,awi,,,,transmission,,,,,,,,cowger et al. 'high throughput ftir analysis of macro and microplastics with plate readers' in prep,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,continentalrdgmbh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,none,,,,other plastic,plastic,,other plastic,0.973738
159,9,,,5482,-12143,50-100,200-300,film,brown,translucent,,159,V2.58,f810103e05c75bbbc7a9180214e5051e,0.868615,0.7,TRUE,4.865124,4,TRUE,TRUE,8,4,Sagehen_March142022_2_top_100_151-1750009.CSV,CC BY-NC,V2.58,bd642a3cea4aa3840a4315f2642c3cae/9fb8439a1a35efb2ddfa4e64815c4261,4b4e031d9e2b7666f3a24f27802e6d07,34.55025,kimmel_center,ftir,"fulvic acid (soli masmia, israel; a. nissenbaum)","organic materials, minerals, archeology","./fulvic acid (soli masmia, israel, a. nissenbaum).dx kimmel",unknown,,,,unknown,,,,absorbance,absorbance,"absorbance of natural & biogenic material of archeological interest. collected and provided by prof. steven weiner from kimmel center for archaeological science, weizmann institute of science, israel",5.01  $$ datafile exported by spectragryph v.1.2.15,1,-1.92847,unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,########,,,,,,,,,,,,,,,,,,,,,,,,other material,not plastic,,organic matter,0.96772
160,10,,,5514,-11958,50-100,200-300,fragment,white ,,,160,V2.59,e42f6ddbda160f2a9b764f2a3475ce9e,0.865915,0.7,TRUE,6.510155,4,TRUE,TRUE,9,4,Sagehen_March142022_2_top_100_151-1750010.CSV,CC BY-NC,V2.59,bd642a3cea4aa3840a4315f2642c3cae/9fb8439a1a35efb2ddfa4e64815c4261,607734f0f15bf47c26b96cc6346d4065,5.798567,win cowger and sebastian primpke,ftir,fibre_cotton_us_pima,"polymer, minerals, organic materials",transmission_4_h5_2,,,,,awi,,,,transmission,,,,,,,,cowger et al. 'high throughput ftir analysis of macro and microplastics with plate readers' in prep,,,,,,,,,,,,plant fibre,fibre_cotton_us_pima,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,faserinstitut bremen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,none,,,,organic matter,not plastic,,organic matter,0.815313
161,11,,,5060,-9704,50-100,50-100,fragment,brown,translucent,,161,V2.60,d932db9cf8153d42f14bbf0e7bd75fa3,0.809811,0.7,TRUE,5.259497,4,TRUE,TRUE,10,4,Sagehen_March142022_2_top_100_151-1750011.CSV,CC BY-NC,V2.60,bd642a3cea4aa3840a4315f2642c3cae/9fb8439a1a35efb2ddfa4e64815c4261,3865efb667fea8163962aabf7daaf8f1,5.186349,kimmel_center,ftir,pyrex-1-9,"organic materials, minerals, archeology",./glass pyrex-1-9.dx kimmel,unknown,,,,unknown,,,,absorbance,absorbance,"absorbance of natural & biogenic material of archeological interest. collected and provided by prof. steven weiner from kimmel center for archaeological science, weizmann institute of science, israel",5.01  $$ datafile exported by spectragryph v.1.2.15,1,-1.92847,unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20/06/2011 13:17:06,,,,,,,,,,,,,,,,,,,,,,,,other plastic,plastic,,other material,0.828844
162,12,,,5155,-5147,50-100,200-300,film,brown,,,162,V2.61,f810103e05c75bbbc7a9180214e5051e,0.839502,0.7,TRUE,5.134693,4,TRUE,TRUE,11,4,Sagehen_March142022_2_top_100_151-1750012.CSV,CC BY-NC,V2.61,bd642a3cea4aa3840a4315f2642c3cae/9fb8439a1a35efb2ddfa4e64815c4261,ecb4e1e3e2937c8e27f881c1d05f7f19,34.55025,kimmel_center,ftir,"fulvic acid (soli masmia, israel; a. nissenbaum)","organic materials, minerals, archeology","./fulvic acid (soli masmia, israel, a. nissenbaum).dx kimmel",unknown,,,,unknown,,,,absorbance,absorbance,"absorbance of natural & biogenic material of archeological interest. collected and provided by prof. steven weiner from kimmel center for archaeological science, weizmann institute of science, israel",5.01  $$ datafile exported by spectragryph v.1.2.15,1,-1.92847,unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,########,,,,,,,,,,,,,,,,,,,,,,,,other material,not plastic,,organic matter,0.96772
163,13,,,5538,465,50-100,50-100,fragment,brown,,,163,V2.62,14e993d9395cca39f9f663f9c38669e9,0.806618,0.7,TRUE,5.364657,4,TRUE,TRUE,12,4,Sagehen_March142022_2_top_100_151-1750013.CSV,CC BY-NC,V2.62,bd642a3cea4aa3840a4315f2642c3cae/9fb8439a1a35efb2ddfa4e64815c4261,aaab4c0acc69127d79c30f633d04b643,6.406955,usda,ftir,soil,soil,73641xs04_usda,,,,,,,,,reflection,,,,,,bruker vertex-70 with hts-xt,,,,,,,,,,,,,,,,4 cm-1,cooled detector,"600 to 4000 cm1, applying 32 scans",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,other material,not plastic,,other material,0.988919
164,14,,,5700,4028,50-100,50-100,fragment,white ,,,164,V2.63,d9cc70b528e4ff309af9db07b66a83aa,0.820154,0.7,TRUE,6.356733,4,TRUE,TRUE,13,4,Sagehen_March142022_2_top_100_151-1750014.CSV,CC BY-NC,V2.63,bd642a3cea4aa3840a4315f2642c3cae/9fb8439a1a35efb2ddfa4e64815c4261,37b3a23d198b4a3d66a8894099502aaf,6.774405,usda,ftir,soil,soil,107709xs03_usda,,,,,,,,,reflection,,,,,,bruker vertex-70 with hts-xt,,,,,,,,,,,,,,,,4 cm-1,cooled detector,"600 to 4000 cm1, applying 32 scans",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,other material,not plastic,,other material,0.987367
165,15,,,6016,87,50-100,200-300,film,white ,translucent,,165,V2.64,a9d0555524f7393a2194d3bca6bad141,0.882389,0.7,TRUE,23.29765,4,TRUE,TRUE,14,4,Sagehen_March142022_2_top_100_151-1750015.CSV,CC BY-NC,V2.64,bd642a3cea4aa3840a4315f2642c3cae/9fb8439a1a35efb2ddfa4e64815c4261,c207cb3c51a56312e4f3f36434a3e914,41.61747,primpke et al. 2018,ftir,sealing ring gardena 1124 large,"polymer, minerals, organic materials",54primpke,,,,,,,,,atr,,https://doi.org/10.1007/s00216-018-1156-x,,,,,black,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,chunk,gardena,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,other plastic,plastic,,other plastic,0.912446
166,16,,,6005,-10146,<50,900-1000,fiber/filament,white ,,,166,V2.65,e42f6ddbda160f2a9b764f2a3475ce9e,0.914791,0.7,TRUE,5.838782,4,TRUE,TRUE,15,4,Sagehen_March142022_2_top_100_151-1750016.CSV,CC BY-NC,V2.65,bd642a3cea4aa3840a4315f2642c3cae/9fb8439a1a35efb2ddfa4e64815c4261,28065846e414035e35f5eebb38a95e4b,5.798567,win cowger and sebastian primpke,ftir,fibre_cotton_us_pima,"polymer, minerals, organic materials",transmission_4_h5_2,,,,,awi,,,,transmission,,,,,,,,cowger et al. 'high throughput ftir analysis of macro and microplastics with plate readers' in prep,,,,,,,,,,,,plant fibre,fibre_cotton_us_pima,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,faserinstitut bremen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,none,,,,organic matter,not plastic,,organic matter,0.815313
167,17,,,5733,-11297,<50,2000-2100,fiber/filament,white ,2000-2100,,167,V2.66,e42f6ddbda160f2a9b764f2a3475ce9e,0.869803,0.7,TRUE,3.800221,4,FALSE,FALSE,16,4,Sagehen_March142022_2_top_100_151-1750017.CSV,CC BY-NC,V2.66,bd642a3cea4aa3840a4315f2642c3cae/9fb8439a1a35efb2ddfa4e64815c4261,3e0849c9899048a1172a1c4e1708c0cd,5.798567,win cowger and sebastian primpke,ftir,fibre_cotton_us_pima,"polymer, minerals, organic materials",transmission_4_h5_2,,,,,awi,,,,transmission,,,,,,,,cowger et al. 'high throughput ftir analysis of macro and microplastics with plate readers' in prep,,,,,,,,,,,,plant fibre,fibre_cotton_us_pima,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,faserinstitut bremen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,none,,,,organic matter,not plastic,,organic matter,0.815313
168,18,,,5918,-11324,100-200,400-500,fragment,brown,,,168,V2.67,e08f6c1985ac63197f050aaa63062b19,0.761712,0.7,TRUE,8.279801,4,TRUE,TRUE,17,4,Sagehen_March142022_2_top_100_151-1750018.CSV,CC BY-NC,V2.67,bd642a3cea4aa3840a4315f2642c3cae/9fb8439a1a35efb2ddfa4e64815c4261,ba950e96bb79de4eda99f19ccd6b9fc5,10.46111,win cowger and sebastian primpke,ftir,tomato skin,"polymer, minerals, organic materials",reflectance_4_e9_0,,,,,,,,,reflectance,,,,,,,,cowger et al. 'high throughput ftir analysis of macro and microplastics with plate readers' in prep,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,none,,,,organic matter,not plastic,,organic matter,0.850253
169,19,,,5698,-11805,100-200,100-200,fragment,brown,goldish,,169,V2.68,c8b11657cff5bcae7bdb7f62ba2941fc,0.857093,0.7,TRUE,10.25171,4,TRUE,TRUE,1,5,Sagehen_March142022_2_top_100_151-1750019.CSV,CC BY-NC,V2.68,bd642a3cea4aa3840a4315f2642c3cae/9fb8439a1a35efb2ddfa4e64815c4261,41f6f6e605169c4b41b0946807f33c37,20.36093,win cowger and sebastian primpke,ftir,wool_cashmere_kasakhstan,"polymer, minerals, organic materials",reflectance_5_c11_3,,,,,awi,,,,reflectance,,,,,,,,cowger et al. 'high throughput ftir analysis of macro and microplastics with plate readers' in prep,,,,,,,,,,,,fur,wool_cashmere_kasakhstan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,faserinstitut bremen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,none,,,,organic matter,not plastic,,organic matter,0.980936
170,20,,,5670,-12171,100-200,200-300,fragment,brown,,,170,V2.69,df48dfe89390c343ccb8c83d2fcea8e0,0.764432,0.7,TRUE,5.112665,4,TRUE,TRUE,2,5,Sagehen_March142022_2_top_100_151-1750020.CSV,CC BY-NC,V2.69,bd642a3cea4aa3840a4315f2642c3cae/9fb8439a1a35efb2ddfa4e64815c4261,3c817d3e9d6685ba1a9a97075dd494ac,170.3206,kimmel_center,ftir,collagen (bone fossil 8),"organic materials, minerals, archeology",./collagen (bone fossil insoluble 8).dx kimmel,unknown,,,,unknown,,,,absorbance,absorbance,"absorbance of natural & biogenic material of archeological interest. collected and provided by prof. steven weiner from kimmel center for archaeological science, weizmann institute of science, israel",5.01  $$ datafile exported by spectragryph v.1.2.15,1,-1.92847,unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30/01/2007 09:21:56,,,,,,,,,,,,,,,,,,,,,,,,other material,not plastic,,other material,0.989134
171,21,,,5763,-12844,50-100,100-200,fragment,brown,,,171,V2.70,91228e9c8cb77e1ead9eca90da3c7d07,0.864256,0.7,TRUE,8.821359,4,TRUE,TRUE,3,5,Sagehen_March142022_2_top_100_151-1750021.CSV,CC BY-NC,V2.70,bd642a3cea4aa3840a4315f2642c3cae/9fb8439a1a35efb2ddfa4e64815c4261,7f9412d1e757ff0e4be61f555e9bf356,7.481846,win cowger and sebastian primpke,ftir,fibre_grass,"polymer, minerals, organic materials",reflectance_5_a5_2,,,,,awi,,,,reflectance,,,,,,,,cowger et al. 'high throughput ftir analysis of macro and microplastics with plate readers' in prep,,,,,,,,,,,,plant fibre,fibre_grass,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,faserinstitut bremen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,none,,,,organic matter,not plastic,,organic matter,0.969191
172,22,,,6328,-12234,100-200,200-300,film,brown,3 very small white fragments tangled in film,,172,V2.71,a5d4409e1aafdc15e5def6b2cba387ee,0.853615,0.7,TRUE,6.219093,4,TRUE,TRUE,4,5,Sagehen_March142022_2_top_100_151-1750022.CSV,CC BY-NC,V2.71,bd642a3cea4aa3840a4315f2642c3cae/9fb8439a1a35efb2ddfa4e64815c4261,1412328e5d7c8c264e93d96f56fa034e,6.670445,aline carvalho,ftir,polypropylene,polymers,polypropylene_88_aline,,,,,,,,,atr,,,,,,"thermo nicolet 670, thermo fisher scientific",,,,,,,,,,,,,,,,4 cm-1,(atr diamond crystal),"400 to 4000 cm-1, applying 8 scans",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,atr correction,,,,polyolefins (polyalkenes),plastic,poly(propylene),polyolefins (polyalkenes),0.903105
173,23,,,6433,-11377,100-200,200-300,fragment,white ,translucent,,173,V2.72,6989456b13fdb81d7e42adac2e9821fa,0.865987,0.7,TRUE,42.64364,4,TRUE,TRUE,5,5,Sagehen_March142022_2_top_100_151-1750023.CSV,CC BY-NC,V2.72,bd642a3cea4aa3840a4315f2642c3cae/9fb8439a1a35efb2ddfa4e64815c4261,17bbf1e21ca5742e4bd977e27033d685,74.69021,"flopp, de frond et al. 2021",ftir,peva 2. orange flip flop foam,polymers,peva 2. orange flip flop foam,nicolet,,,,thermo fisher scientific corporation,,,,transmittance,transmittance,https://doi.org/10.1021/acs.analchem.1c02549,5.01  $$ nicolet v. 970,1.00E-08,1.928548,nicolet in10 mx,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,15:32:34,ratio against background,truncated,elementmultiply or elementdivide,11.18 sec,1,32,1,2,4096,8192,n-b strong;,alk1911898;,,,,,,,,,,########,,,,,,,,,mertz;,,,,,,,,,15798.67 cm-1,11.18 sec,,,,,other plastic,plastic,ethylene-vinyl acetate,polyvinylesters,0.8236
174,24,,,6497,-10531,50-100,300-400,fragment,brown,,,174,V2.73,d38fd6ca8fa51bcc0aa044add23b3826,0.797526,0.7,TRUE,7.540622,4,TRUE,TRUE,6,5,Sagehen_March142022_2_top_100_151-1750024.CSV,CC BY-NC,V2.73,bd642a3cea4aa3840a4315f2642c3cae/9fb8439a1a35efb2ddfa4e64815c4261,5f2ac2168abe1e16c38a9665e16d3012,339.7834,kimmel_center,ftir,"wood tamarisk modern timna, israel","organic materials, minerals, archeology","./wood tamarisk modern timna, israel.dx kimmel",unknown,,,,unknown,,,,absorbance,absorbance,"absorbance of natural & biogenic material of archeological interest. collected and provided by prof. steven weiner from kimmel center for archaeological science, weizmann institute of science, israel",5.01  $$ datafile exported by spectragryph v.1.2.15,1,-1.92847,unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,########,,,,,,,,,,,,,,,,,,,,,,,,organic matter,not plastic,,other material,0.98891
